第 3 次循环
Episode 0 : -337651.71
Episode 1 : -328091.11
Episode 2 : -263898.29
Episode 3 : -251821.18
Episode 4 : -220625.34
Episode 5 : -206011.24
Episode 6 : -205464.86
Episode 7 : -189105.04
Episode 8 : -33956.67
Episode 9 : -184489.06
Episode 10 : -173498.85
Episode 11 : -182248.86
Episode 12 : -175545.56
Episode 13 : -172196.38
Episode 14 : -160109.59
Episode 15 : -135663.09
Episode 16 : -162490.23
Episode 17 : -152747.20
Episode 18 : -151477.82
Episode 19 : -147055.29
Episode 20 : -140056.82
Episode 21 : -151956.23
Episode 22 : -149642.74
Episode 23 : -135587.06
Episode 24 : -144807.77
Episode 25 : -120990.52
Episode 26 : -122543.03
Episode 27 : -132698.59
Episode 28 : -128488.15
Episode 29 : -133423.03
Episode 30 : -119133.89
Episode 31 : -124201.99
Episode 32 : -121745.18
Episode 33 : -104114.52
Episode 34 : -107029.04
Episode 35 : -111515.44
Episode 36 : -96807.02
Episode 37 : -109621.32
Episode 38 : -105545.60
Episode 39 : -105993.85
Episode 40 : -110264.79
Episode 41 : -94113.20
Episode 42 : -103112.76
Episode 43 : -83430.44
Episode 44 : -95838.92
Episode 45 : -90767.44
Episode 46 : -103946.57
Episode 47 : -99823.43
Episode 48 : -103796.55
Episode 49 : -92455.05
Episode 50 : -84978.74
Episode 51 : -86407.00
Episode 52 : -86890.86
Episode 53 : -104615.84
Episode 54 : -85835.50
Episode 55 : -55869.87
Episode 56 : -74239.11
Episode 57 : -87466.40
Episode 58 : -79277.62
Episode 59 : -68928.89
Episode 60 : -74646.78
Episode 61 : -71765.65
Episode 62 : -65380.20
Episode 63 : -66613.12
Episode 64 : -62987.15
Episode 65 : -67364.60
Episode 66 : -66576.48
Episode 67 : -64387.17
Episode 68 : -63526.59
Episode 69 : -61354.67
Episode 70 : -63016.67
Episode 71 : -59436.09
Episode 72 : -60673.53
Episode 73 : -61929.31
Episode 75 : -50590.31
Episode 76 : -24155.22
Episode 77 : -58230.19
Episode 78 : -51360.73
Episode 79 : -62157.20
Episode 80 : -76855.05
Episode 81 : -53818.46
Episode 82 : -58018.76
Episode 83 : -27130.33
Episode 84 : -56086.58
Episode 85 : -56949.79
Episode 86 : -55602.63
Episode 87 : -46457.10
Episode 88 : -53518.82
Episode 89 : -46294.82
Episode 90 : -54612.89
Episode 91 : -51669.06
Episode 92 : -43062.24
Episode 93 : -43810.38
Episode 94 : -47506.60
Episode 95 : -44473.07
Episode 96 : -47649.84
Episode 97 : -45719.63
Episode 98 : -49875.45
Episode 99 : -45320.74
Episode 100 : -45569.57
Episode 101 : -47627.94
Episode 102 : -43488.16
Episode 103 : -53338.57
Episode 104 : -34932.50
Episode 105 : -45387.63
Episode 106 : -48399.48
Episode 107 : -61098.40
Episode 108 : -42003.25
Episode 109 : -48761.07
Episode 110 : -45074.03
Episode 111 : -69343.05
Episode 112 : -51471.48
Episode 113 : -40558.42
Episode 114 : -39479.93
Episode 115 : -43767.27
Episode 116 : -45536.42
Episode 117 : -47383.17
Episode 118 : -46423.08
Episode 119 : -40177.11
Episode 120 : -35940.78
Episode 121 : -39232.05
Episode 122 : -34121.16
Episode 123 : -37225.27
Episode 124 : -35869.75
Episode 125 : -57547.33
Episode 126 : -40024.07
Episode 127 : -9133.40
Episode 128 : -40103.43
Episode 129 : -39219.05
Episode 130 : -36131.61
Episode 131 : -29395.60
Episode 132 : -43630.77
Episode 133 : -35195.46
Episode 134 : -36034.09
Episode 135 : -35429.03
Episode 136 : -39187.96
Episode 137 : -31858.12
Episode 138 : -31239.25
Episode 139 : -30474.33
Episode 140 : -30469.29
Episode 141 : -35953.67
Episode 142 : -34726.09
Episode 143 : -61228.95
Episode 144 : -44184.41
Episode 145 : -40841.64
Episode 146 : -35846.49
Episode 147 : -45827.84
Episode 148 : -34967.44
Episode 149 : -38392.21
Episode 150 : -58320.59
Episode 151 : -34806.88
Episode 152 : -55414.33
Episode 153 : -4685.34
Episode 154 : -35641.01
Episode 155 : -50968.71
Episode 156 : -26500.09
Episode 157 : -34864.76
Episode 158 : -33913.35
Episode 159 : -54187.40
Episode 160 : -30060.23
Episode 161 : -34210.93
Episode 162 : -3489.11
Episode 163 : -21007.92
Episode 164 : -26295.89
Episode 165 : -30342.31
Episode 166 : -30327.38
Episode 167 : -38476.84
Episode 168 : -42630.48
Episode 169 : -37404.76
Episode 170 : -43299.64
Episode 171 : -36449.96
Episode 172 : -19235.56
Episode 173 : -33683.75
Episode 174 : -36144.54
Episode 175 : -31905.63
Episode 176 : -34243.36
Episode 177 : -41227.80
Episode 178 : -30029.35
Episode 179 : -30778.65
Episode 180 : -31196.86
Episode 181 : -32031.32
Episode 182 : -34621.70
Episode 183 : -30772.71
Episode 184 : -36743.88
Episode 185 : -35709.24
Episode 186 : -36787.27
Episode 187 : -43900.80
Episode 188 : -30330.94
Episode 189 : -43850.49
Episode 190 : -35629.63
Episode 191 : -34669.96
Episode 192 : -25309.26
Episode 193 : -30318.69
Episode 194 : -31816.56
Episode 195 : -56576.05
Episode 196 : -37431.89
Episode 197 : -35894.78
Episode 198 : -29861.53
Episode 199 : -39291.00

第一阶段时间为：0.014497200000050725
200回合，每个回合1000步的情况下
第二阶段时间为：846.3737591999998
总时间为：846.3882564

训练集各项指标：
评价指标MAE的值为：72.94735545237626
评价指标RMSE的值为：157.1827003784916
评价指标CV的值为：0.3883547863851368
评价指标R^2的值：1.0413107900707137
====================================================================
