DQN的平均计算时间：[833.71370711]
DDPG的平均计算时间：[1329.00679777]

2的类别准确率：99.39200000000001	平均计算时间：715.18621076
3的类别准确率：94.70629999999998	平均计算时间：690.9462126100004
4的类别准确率：96.168	平均计算时间：687.4723019099996
5的类别准确率：95.1776	平均计算时间：682.0351188299913
6的类别准确率：92.73910000000001	平均计算时间：692.7989074800281
7的类别准确率：89.58319999999999	平均计算时间：687.9988562699989
8的类别准确率：89.09819999999999	平均计算时间：682.7200274300296
9的类别准确率：88.3267	平均计算时间：668.9495929099852
10的类别准确率：84.1394	平均计算时间：691.4712266799877
11的类别准确率：83.90719999999999	平均计算时间：698.9004496400012
12的类别准确率：83.58610000000002	平均计算时间：697.9719319799915
13的类别准确率：80.3072	平均计算时间：684.6064682599739
14的类别准确率：77.5479	平均计算时间：686.3889090600308
15的类别准确率：76.4616	平均计算时间：699.5292726700311
16的类别准确率：73.0054	平均计算时间：697.8503336700145
17的类别准确率：71.6327	平均计算时间：684.2735577700311
18的类别准确率：69.0369	平均计算时间：686.0858575799618
19的类别准确率：66.7144	平均计算时间：695.5275189499953
20的类别准确率：63.5111	平均计算时间：691.4157422200311
21的类别准确率：64.7403	平均计算时间：687.8962122899945
22的类别准确率：63.025999999999996	平均计算时间：691.4077562100254
23的类别准确率：61.639300000000006	平均计算时间：684.5285331799881
24的类别准确率：61.338699999999996	平均计算时间：699.7674730500323
25的类别准确率：59.583299999999994	平均计算时间：708.2242803199915
26的类别准确率：58.64770000000001	平均计算时间：696.7990049500135
27的类别准确率：57.83480000000001	平均计算时间：710.2204338600161
28的类别准确率：57.964600000000004	平均计算时间：716.3534835899831
29的类别准确率：55.833299999999994	平均计算时间：708.3820013600168
30的类别准确率：54.75419999999999	平均计算时间：703.9908473599819
31的类别准确率：53.032900000000005	平均计算时间：707.49954091002
32的类别准确率：51.6529	平均计算时间：718.5607464700122
33的类别准确率：50.77199999999999	平均计算时间：715.175522920012
34的类别准确率：51.338800000000006	平均计算时间：704.5850232799887
35的类别准确率：49.9658	平均计算时间：705.4423874400206
36的类别准确率：48.70890000000001	平均计算时间：708.9988677100395
